ticker,name,sector,industry
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers
NVDA,NVIDIA Corporation,Technology,Semiconductors
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure
IONQ,IonQ Inc.,Technology,Computer Hardware
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
AAPL,Apple Inc.,Technology,Consumer Electronics
META,Meta Platforms Inc.,Communication Services,Internet Content & Information
UNH,UnitedHealth Group Inc.,Healthcare,Healthcare Plans
MSFT,Microsoft Corporation,Technology,Software - Infrastructure
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail